,Año,Trimestre,Provincia,Accesos por cada 100 hab
364,2020,1,Chubut,15.715139739949185
365,2020,1,Córdoba,21.64232669040361
366,2020,1,Corrientes,10.198192297264285
367,2020,1,Entre Ríos,16.779387594256768
368,2020,1,Formosa,7.693633209507935
369,2020,1,Jujuy,11.934505713694248
370,2020,1,La Pampa,24.96348894596364
371,2020,1,La Rioja,12.337423688670192
372,2020,1,Mendoza,9.248656325291032
373,2020,1,Misiones,10.627621055982175
374,2020,1,Neuquén,18.409872883598883
375,2020,1,Río Negro,16.95263605430754
376,2020,1,Salta,12.011697200976553
377,2020,1,San Juan,8.251277881190129
378,2020,1,San Luis,21.838769386372302
379,2020,1,Santa Cruz,10.704172537298618
380,2020,1,Santa Fe,21.86132458787361
381,2020,1,Santiago Del Estero,10.539212166838636
382,2020,1,Tierra Del Fuego,22.552553250860385
383,2020,1,Tucumán,11.852464901793745
384,2019,4,Buenos Aires,21.135089381908887
385,2019,4,Capital Federal,44.18705360861236
386,2019,4,Catamarca,9.268865071492511
387,2019,4,Chaco,9.84506318966921
388,2019,4,Chubut,15.677171185926401
389,2019,4,Córdoba,21.57949716642836
390,2019,4,Corrientes,10.208283637368018
391,2019,4,Entre Ríos,17.339132629892976
392,2019,4,Formosa,7.755476118924716
393,2019,4,Jujuy,11.60391510228381
394,2019,4,La Pampa,25.344921847620384
395,2019,4,La Rioja,12.547563567459605
396,2019,4,Mendoza,9.390112733918839
397,2019,4,Misiones,10.837581902491847
398,2019,4,Neuquén,17.668184976921886
399,2019,4,Río Negro,17.13387032217983
400,2019,4,Salta,12.195492805546795
401,2019,4,San Juan,8.36915261267133
402,2019,4,San Luis,21.441352893267833
403,2019,4,Santa Cruz,10.923427797723754
404,2019,4,Santa Fe,21.84835065573258
405,2019,4,Santiago Del Estero,10.651974288337923
406,2019,4,Tierra Del Fuego,23.627546752616215
407,2019,4,Tucumán,11.803181280712074
408,2019,3,Buenos Aires,22.761733615562225
409,2019,3,Capital Federal,46.904770893488056
410,2019,3,Catamarca,7.855954765218487
411,2019,3,Chaco,9.580664387529255
412,2019,3,Chubut,14.580466548718958
413,2019,3,Córdoba,21.000781776953538
